AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9980|158403|1|King of the Dragons||竜の王|25|05.04.2014 00:00|8.00|7|0|3
9980|158818|2|The Eclipse Project||エクリプス計画|25|12.04.2014 00:00|7.67|7|0|3
9980|158817|3|Fairy Tactician||妖精軍師|25|19.04.2014 00:00|7.91|7|0|3
9980|158816|4|Gray vs. Rufus||グレイ vs. ルーファス|25|26.04.2014 00:00|8.42|7|0|3
9980|159323|5|The Hungry Wolf Knights||餓狼騎士団|25|03.05.2014 00:00|8.11|7|0|3
9980|159322|6|Fairy Tail vs. Executioners||FT[フェアリーテイル] vs. 処刑人|25|10.05.2014 00:00|6.71|8|0|3
9980|159321|7|Scorching Earth||燃える大地|25|17.05.2014 00:00|6.31|7|0|3
9980|159320|8|Our Place||オレたちのいる国[ばしょ]|25|24.05.2014 00:00|8.46|8|0|3
9980|159741|9|The Kingdom `til Tomorrow||明日までの国|25|31.05.2014 00:00|9.40|8|0|3
9980|159936|10|Erza vs. Kagura||エルザ vs. カグラ|25|07.06.2014 00:00|8.39|8|0|3
9980|159935|11|A Future Racing Toward Despair||絶望へ加速する未来|25|14.06.2014 00:00|8.28|7|0|3
9980|159934|12|Frog||カエル|25|21.06.2014 00:00|8.49|8|0|3
9980|159937|13|Roaring Thunder!||激雷!|25|28.06.2014 00:00|7.99|7|0|3
9980|160658|14|Gloria||GLORIA|25|05.07.2014 00:00|9.57|7|0|3
9980|160712|15|The One Who Closes the Gate||扉を閉めるもの|25|12.07.2014 00:00|6.49|8|0|3
9980|160711|16|Natsu vs. Rogue||ナツvs.ローグ|25|19.07.2014 00:00|6.64|7|0|3
9980|160710|17|For Me, Too||あたしの分まで|25|26.07.2014 00:00|7.40|8|0|3
9980|161403|18|Seven Dragons||SEVEN DRAGON|25|02.08.2014 00:00|8.91|7|0|3
9980|161402|19|Zirconis` Magic||ジルコニスの魔法|25|09.08.2014 00:00|5.81|7|0|3
9980|161401|20|People and People, Dragons and Dragons, People and Dragons||人と人, 竜と竜, 人と竜|25|16.08.2014 00:00|7.27|7|0|3
9980|161889|21|Sin and Sacrifice||罪と犠牲|25|23.08.2014 00:00|7.06|6|0|3
9980|161888|22|Time of Life||命の時間|25|30.08.2014 00:00|9.00|8|0|3
9980|161887|23|Fields of Gold||黄金の草原|25|06.09.2014 00:00|8.30|7|0|3
9980|161886|24|The Grand Banquet||大舞踊演舞|25|13.09.2014 00:00|8.27|6|0|3
9980|162545|25|Droplets of Time||星霜の雫|25|20.09.2014 00:00|7.90|6|0|3
9980|162544|26|A Gift||贈り物|25|27.09.2014 00:00|5.29|6|0|3
9980|162920|27|Welcome Back, Frosch||おかえり, フロッシュ|25|04.10.2014 00:00|4.25|8|0|3
9980|163055|28|Moulin Rouge||ムーランルージュ|25|11.10.2014 00:00|5.80|6|0|3
9980|163158|29|Full Effort Hospitality!||おもてなし, 命かけてます!|25|18.10.2014 00:00|5.69|6|0|3
9980|163157|30|Signal of Rebellion||反逆の狼煙|25|25.10.2014 00:00|8.93|3|0|3
9980|163545|31|Library Panic||パニック・オブ・ライブラリー|25|01.11.2014 00:00|6.53|4|0|3
9980|163544|32|Hisui Rises!||ヒスイ立つ!|25|08.11.2014 00:00|4.32|4|0|3
9980|163543|33|Astral Spiritus||アストラル・スピリタス|25|15.11.2014 00:00|5.76|4|0|3
9980|163542|34|Wendy vs. Aquarius: Let`s Have Fun in the Amusement Park!||ウェンディ vs. アクエリアス, 遊園地であそぼ!|25|22.11.2014 00:00|8.35|4|0|3
9980|164160|35|Guild Deck vs. Celestial Deck||ギルドデッキ vs. 星霊デッキ|25|29.11.2014 00:00|5.29|5|0|3
9980|164159|36|Gray vs. Cancer! Dance Battle!||グレイ vs. キャンサー, ダンスバトル!|25|06.12.2014 00:00|3.07|6|0|3
9980|164158|37|Juvia vs. Aries! Desert Death Match!||ジュビア vs. アリエス, 砂漠の死闘!|25|13.12.2014 00:00|6.27|5|0|3
9980|164157|38|Erza vs. Sagittarius! Horseback Showdown!||エルザ vs. サジタリウス, 馬上の決戦!|25|20.12.2014 00:00|3.83|5|0|3
9980|164781|39|Natsu vs. Leo||ナツ vs. レオ|25|27.12.2014 00:00|5.96|4|0|3
9980|164909|40|Ophiuchus, the Snake Charmer||蛇遣い座のオフィウクス|25|10.01.2015 00:00|5.76|4|0|3
9980|164945|41|When the Stars Fall||星満ちて流るる時|25|17.01.2015 00:00|6.84|4|0|3
9980|164944|42|Celestial Spirit Beast||星霊獣|25|24.01.2015 00:00|5.09|4|0|3
9980|164943|43|Believe||Believe|25|31.01.2015 00:00|8.35|4|0|3
9980|164942|44|What a Pure Heart Weaves||真心が紡ぐもの|25|07.02.2015 00:00|7.38|4|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9980|158403|7172|1401505|348354086|a5f86d17ab8bc1310f8ace6e4158c414|ceff9a8b260ff500a4cf3926ca3be0f2|6a6129cd511d56c6080d50d68dcea5011600d7f4|db764020|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|158818|7172|1404611|348826011|979f80f609eed89a25332c314d3ea25f|55314503895fde77042e87e5cbda6aeb|64f3d159aac82e9647c89a5b7c40fdc2f2651bd9|3e49848c|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|158817|7172|1409249|348609063|e293f81394b2a5ba121cd2d2ea3e510b|8c9547406b557f812db01e89aff4eba6|8bcb266e0d236836ee8e7e0c801b458709100e50|2a4a2c29|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|158816|7172|1413378|348755127|f9cebe9cf8076e4708f8137b021af035|3295e8eee40a917cf3fc2a787221308e|bc82e0c3adbc1ac7af4f92e92541165b8c51a42c|061e1045|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|159323|7172|1417851|348273287|b0380fb0136f5dc775b9e215939b7161|7dd0cbde9a0bca3f932bf6480787514e|15d0daec16778a1543ea5304672234a29d2763d2|657f6662|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|159322|7172|1420754|348681203|c619f8b5d083e0a3ffcf44d2cd7237cf|d9bbdcd4b70829dca1d0b127ae081fb8|79f12cb1badfc7e7ae7c6d82fe2bbaeb69ffc1b6|9c91a9de|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|159321|7172|1424503|348679860|9232f84c15753dcdd1884056cae27f8c|b6a34d0d08c2df7b63f1fc1191b1fc0a|8d1536f6c8252f32ad45b9c7cf2bc98855bcd0ea|57cf3818|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|159320|7172|1427316|348521330|fb12d12f2b243412832f4e06a6cd29ba|84aae8e096e28953d064238279aed394|42b9bdc961fe86aff03409c1e10d5ad84cfea9f2|d9d86078|1465|10|high|1280x720|H264/AVC|(HE-)AAC||japanese|1|0|3|mkv
9980|159741|7172|1430195|348954433|f4179c173b258214be4aaed4a159ec0b|bf83eed04cce1c319b1606380c7328b1|47182fad24f37536b0c05a824df454f8dc7eba32|64d9ce4b|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|159936|7172|1432626|347736049|323e5d71f6f9b3c90d87cc9c5f092723|e09deedd47db0a2abb0359f031bfb5d4|3dfbf47282ee6f9832b22123f9731cde9bb6e4c3|a299a02d|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|159935|7172|1435899|348872276|f6a458ea17a45e0dd18fc731817d22e6|a0f964e6b84e15847cbc69c54ec7a3d2|55c761409cee9bd734ee7673450cce9ffd178897|64edb517|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|159934|7172|1438243|349041005|10a5d2a97f92f4bd81bf80e93cdb802e|fe9480f109f0c9475980ea1e0fc0c376|573255f8612cf7a95315da5e84138ff9560e4817|60c85c1d|1465|10|high|1280x720|H264/AVC|(HE-)AAC||japanese|1|0|3|mkv
9980|159937|7172|1440581|347787272|4eed7a7c7225854d64a325c1d6eda626|6e01109258d745f576c83718c3f4689d|191a0b189d7fb4f605cb070634687545b7d443d7|05892627|1465|10|high|1280x720|H264/AVC|(HE-)AAC||japanese|1|0|3|mkv
9980|160658|7172|1443243|348319627|711f2c376a531bec246445fb500f4fbb|21c558bb42a241de5f9372c41c1674f4|99e80606390d490c37fe6850174e6c1098647d23|5a4e52f0|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|160712|7172|1446574|348639469|0f19822263aefefeecdecba2085e9cec|0baa49976b65fae94b827e9dcdc337c7|86d2fa78a333029266e05c23bd0ae5a3a91f9266|19f92019|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|160711|7172|1453155|347632806|7d8b18afbe86f29ff7fd8ac10e1e5e8f|d0c7e8ef7b747e08ead7017062922192|0f0586e697869dafbb8e60a4be916c5c791eb795|6712e536|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9980|160710|7172|1456937|348758448|868ff0f7e5db718d186a16f70333a0ba|892b8caa0d935d3603e4a6f462703a10|2a9b001346f856942e3692217e0ee50b8a93cdc0|64df841d|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
