AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9998|158689|1|Beginner||素人[ビギナー]|25|09.04.2014 00:00|6.07|38|0|3
9998|158688|2|Challenger||挑戦者[チャレンジャー]|25|16.04.2014 00:00|6.67|37|0|3
9998|159089|3|Expert||熟練者[エキスパート]|25|23.04.2014 00:00|7.66|31|0|3
9998|159088|4|Grandmaster||国王[グランドマスター]|25|30.04.2014 00:00|7.41|30|0|3
9998|159440|5|Weak Square||駒並べ[ウィークスクエア]|25|07.05.2014 00:00|7.05|32|0|3
9998|159439|6|Interesting||一手[インタレスティング]|25|14.05.2014 00:00|9.10|42|0|3
9998|159438|7|Sacrifice||死に手[サクリファイス]|25|21.05.2014 00:00|8.17|31|0|3
9998|159437|8|Fake End||起死回生[フェイクエンド]|25|28.05.2014 00:00|8.83|33|0|3
9998|159864|9|Sky Walk||解離法[スカイ・ウォーク]|25|04.06.2014 00:00|8.15|31|0|3
9998|159863|10|Blue Rose||指向法[ブルー・ローズ]|25|11.06.2014 00:00|5.55|29|0|3
9998|159862|11|Killing Giant||誘導法[キリング・ジャイアント]|25|18.06.2014 00:00|8.56|30|0|3
9998|159861|12|Rule Number 10||収束法[ルール・ナンバー・10]|25|25.06.2014 00:00|9.23|27|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9998|158689|7172|1403635|339006116|4f8c16d6b99462cfbdf8eda7fe3d937a|e2fb3e9c77e28b9e1b271da9dd134788|8f9d5cd07de5a7541b5528004a0049d599062d74|df927eba|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|158688|7172|1407075|340313263|10887e705cbd7631b50308f4ec40c0cb|1c94a0e80d53714d036a3d6630d8cc95|dbba84b745cc692be213b29f7a21148c7c256af3|aceaff8c|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159089|7172|1411653|340283308|0d36edf411ebcb951a85d197b1354b89|7c5ea28390e062214ee43bef736cae71|6a2ca855a7100a31f8f7ff8ff32415b83ed360fc|a4b6241a|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159088|7172|1416941|340067538|a0d4332d97fb0b3b5eac7ae9b407b0c5|52f8088e46b42ec1d67dd007cdfde6b3|7f95bdd9f11a1f9fae997adb76ae73d802ad925b|bf4ad137|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159440|7172|1419904|340529201|7bb452f6433a09875895bd68b7a6fa73|f7b8552321f2c75e5a4d3ee920fc98d0|0acbde364d674f4347b9380a4058a5d75723bb94|82296310|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159439|7172|1423230|339341345|3776b7ba7bbf37516850d84f3a17700f|9beb25fffcb0ed444aab4339849fd8da|59e59bca3698c8ec4676e8da8205919d11f9583a|38df94eb|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159438|7172|1426414|340113132|5ffd6caee195790e82bbe91bcb37738f|1d108c44e28c701f6d409ea54f181e1c|d898971ce45e5eb852aa8cfd777861b0bfed495a|9ec50a68|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159437|7172|1429279|340395696|670960f08726aada7aa19d1f35570784|14e8b75016d6d935bf8726d92865db08|756a9a4479bb3d8d21da1f540f318906de9b2297|90dc02c1|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159864|7172|1431642|340174706|1d50eba01258efa555b3c9b7230307d9|b61d02d3e4891e13ec9921c709ff8bf7|6a19ee86079da5a837fa482181db66dd4577e16e|b25c679e|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159863|7172|1435300|340173155|381e28c55b06c66c431620d7b7fffca7|a9b798cd64b49d68b1b3133b20c5ebf7|3911d85d937f386751b2191eb0fdfc06f43e0001|26a86631|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159862|7172|1437443|340133219|9cda3be9fdddfe14979b2d86e8944107|d46dde15036e80392036f4387a3cec25|0be8f212009b7677ae58a658f61dd985fddf35c9|1e17baed|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9998|159861|7172|1439831|339669974|42f86ba39ef4450e411e070be1da8d77|a1c1a3c8a8662ca425b73fd5d706cbab|336456f74e2d2fca632531fb668710dc15bd8641|b739ba71|1427|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|91708|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
405|Board Games|0|200
284|Boing|0|200
369|Breast Fondling|0|400
469|Chess|0|300
17|Comedy|0|500
200|Dragon|0|100
282|Ecchi|0|400
221|Elf|0|300
462|Fairies|0|300
15|Fantasy|0|500
498|Furo Scene|0|400
241|Harem|0|100
266|High Fantasy|0|200
175|Magic|0|100
414|Nopan|0|100
274|Novel|0|600
88|Nudity|0|400
283|Pantsu|0|300
209|Parallel Universe|0|400
151|Parody|0|400
427|Racism|0|200
79|Seinen|0|600
278|Shoujo Ai|0|100
18|Super Power|0|400
514|Tokyo|0|100


