AID|Romaji|Kanji|English|Year|EpsTotal|Eps|EpsSpec|Rating|TmpRating|Vote|TmpVote|Reviews|ReviewsRating|TypeID|TypeName|isAdult
1135|.hack//Gift|.hack//GIFT|.hack//gift|2003|1|1|0|2.57|5.72|1563|1589|1|3.50|3|OVA|0
222|.hack//Liminality|.hack//Liminality|.hack//Liminality|2002-2003|4|4|0|4.05|6.57|2437|2460|2|6.16|3|OVA|0
7883|.hack//Quantum|.hack//Quantum|.hack//Quantum|2010-2011|12|3|9|6.63|7.18|1062|1071|1|4.50|3|OVA|0
4324|.hack//Roots|.hack//Roots|.hack//Roots|2006|38|26|12|4.45|6.86|2611|2671|8|6.78|2|TV Series|0
8606|.hack//Sekai no Mukou ni|ドット ハック セカイの向こうに||2012|2|1|1|5.68|6.73|628|636|1|3.50|4|Movie|0
24|.hack//Sign|.hack//SIGN|.hack//SIGN|2002|30|26|4|5.18|7.11|7049|7187|21|7.94|2|TV Series|0
447|.hack//Tasogare no Udewa Densetsu|.hack//黄昏の腕輪伝説|.hack//Legend of the Twilight|2003|15|12|3|3.98|6.62|2985|3030|6|4.77|2|TV Series|0
2758|4-Day Weekend|4デイ・ウィークエンド||1998|1|1|0|4.26|5.72|391|394|0|-|8|Music Video|0
27|Aa! Megami-sama!|ああっ女神さまっ|Oh My Goddess!|1993-1994|11|5|6|6.18|7.52|4580|4699|8|6.70|3|OVA|0
2656|Afro Samurai|アフロサムライ|Afro Samurai|2007|11|5|6|4.70|6.80|4819|4890|8|6.01|2|TV Series|0
2870|Ai|愛||1963|1|1|0|1.90|3.62|434|435|0|-|4|Movie|0
833|Ail Maniax: Inma Seifukugari & Majogari no Yoru ni|アイルMANIAX ~淫魔制服狩り&魔女狩りの夜に~||2001-2002|3|3|0|3.30|5.46|323|330|2|3.75|3|OVA|1
2002|Air|AIR|Air|2005|30|13|17|6.25|7.60|8482|8612|24|7.25|2|TV Series|0
10407|Akame ga Kill!|アカメが斬る!|Akame ga Kill!|2014|54|24|30|5.59|6.95|6263|6318|8|4.91|2|TV Series|0
1971|Akiba-kei Kanojo|アキバ系彼女|Akiba Girls|2004-2006|3|3|0|4.81|6.79|1308|1345|2|6.08|3|OVA|1
8029|Akina to Onsen de H Shiyo!|明菜と温泉でHしよっ||2010|2|1|1|4.12|5.78|363|370|0|-|3|OVA|1
28|Akira|アキラ|Akira|1988|17|1|11|7.09|7.76|11466|11604|17|6.80|4|Movie|0
5602|Alignment You! You! The Animation|あらいめんとゆーゆー THE ANIMATION||2008|2|2|0|5.35|6.61|765|787|0|-|3|OVA|1
